2020-04-19 16:10:25.658 DEBUG 623 --- [main] .c.l.ClasspathLoggingApplicationListener : Application started with classpath: [file:/Users/magicliang/Desktop/Programing/git/spring-experiments/old-project/target/surefire/surefirebooter7837474635083342866.jar]
2020-04-19 16:10:25.680 DEBUG 623 --- [main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring-boot.version' in PropertySource 'version' with value of type String
2020-04-19 16:10:25.931  INFO 623 --- [main] c.m.e.SpringExperimentsApplicationTests  : Starting SpringExperimentsApplicationTests on magicliang.local with PID 623 (started by magicliang in /Users/magicliang/Desktop/Programing/git/spring-experiments/old-project)
2020-04-19 16:10:25.932 DEBUG 623 --- [main] c.m.e.SpringExperimentsApplicationTests  : Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-04-19 16:10:25.933  INFO 623 --- [main] c.m.e.SpringExperimentsApplicationTests  : The following profiles are active: prod
2020-04-19 16:10:25.934 DEBUG 623 --- [main] o.s.boot.SpringApplication               : Loading source class com.magicliang.experiments.SpringExperimentsApplication
2020-04-19 16:10:26.506 DEBUG 623 --- [main] o.s.b.c.c.ConfigFileApplicationListener  : Activated activeProfiles prod
2020-04-19 16:10:26.507 DEBUG 623 --- [main] o.s.b.c.c.ConfigFileApplicationListener  : Loaded config file 'file:/Users/magicliang/Desktop/Programing/git/spring-experiments/old-project/target/classes/application.properties' (classpath:/application.properties)
2020-04-19 16:10:26.510 DEBUG 623 --- [main] o.s.w.c.s.GenericWebApplicationContext   : Refreshing org.springframework.web.context.support.GenericWebApplicationContext@6bffbc6d
2020-04-19 16:10:26.549 DEBUG 623 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2020-04-19 16:10:26.578 DEBUG 623 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2020-04-19 16:10:26.636 DEBUG 623 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/magicliang/Desktop/Programing/git/spring-experiments/old-project/target/classes/com/magicliang/experiments/aspect/AOPConfiguration.class]
